ExpenseType,January,February,March,April,May,June,July
PCFMktg,"246,561.00","229,756.00","243,880.25","150,989.00","227,904.00","176,321.20","329,966.85"
RegSals,"117,733.00","118,182.00","116,613.00","105,621.00","119,228.00","102,666.00","102,098.00"
ExSals,"32,108.00","28,665.00","34,937.00","27,421.00","28,518.00","37,776.00","29,608.00"
CLQ,"38,850.00","49,950.00","61,050.00","19,425.00","13,875.00","13,875.00",0.00
CookGas,"17,310.00",0.00,"17,810.00","27,298.00","26,298.00","23,698.00","24,790.00"
CookOil,"6,400.00","10,740.00","6,760.00","3,560.00","3,440.00","3,400.00","6,720.00"
DryGoods,0.00,0.00,"19,050.00",0.00,0.00,0.00,0.00
FishFill,"6,000.00","9,000.00","12,000.00",0.00,0.00,"3,000.00","7,500.00"
Grocer,0.00,0.00,0.00,0.00,0.00,"6,252.00",0.00
PlasGoods,0.00,0.00,"20,294.50","5,826.00",0.00,"10,971.00","4,935.00"
